genel_nit_is_tanimi,ilan_baslik,label
bilsoft yazilim yildir basta ticari programlar olmak uzere kobi lerin ihtiyaclari dogrultusunda yazilim gelistiren sektorun lider firmalarindandir turkiye genelinde fazla firmaya hizmet vermektedir firmamizin duzce teknoparkta bulunan ofisinde gelistirecegimiz projelerinde calisacak yazilim uzmanlari aramaktayiz genel nitelikler universitelerin ilgili bolumlerinden mezun yazilim sektorunde yazilim gelistirme tecrubesine sahip uygulama gelistirme becerisine sahip entity framework linq javascript jquery html bilgisi olan service webapi teknolojilerinde bilgi sahibi mysql veritabaninda deneyimli katmanli proje gelistirme servis yonelimli mimari anlayisini bilen takim calismasina yatkin problem cozme yetenegine sahip askerlik hizmetini tamamlamis veya kesin olarak tecil ettirmis duzce ikamet eden veya edebilecek tanimi sirketimizin bunyesinde tabanli projelerin gelistirilmesinde ekibimizde gorev alacaktir calisma arkadaslarimizin temel gorevleri mevcut uygulamalarimizin gelistirilmesine katki saglamak yeni gelistirilecek projelere katki saglamak ekip calismasina uyum katki saglamak,yazilim uzmani,web_tasarim
consulting verinin bilgiye donusmesi icin gerekli danismanlik teknoloji hizmetlerini vermek amaciyla yilinda kurulmus turkiye onde gelen kuruluslarinda yaptigi projeler konudaki basarisini kanitlamistir gunumuzde bilgi kurumlar icin degerli varlik haline gelmis karar verme sureclerinde onemli kaynak olmustur amaci paylasan hedefleyen sektor firmalara konularinda uzman olan danismanlarimiz veri ambari zekasi buyuk veri analiz entegrasyon leri veri analitik yontemlerle verinin islenmesi veri kalitesinin arttirilmasi veri gorselleme veri yonetisimi veriye gudumlu karar verme veriye dayali denetim konularinda destek olmaktadir oracle olan ortakliklarinin yani sira veriye dayali otomatik denetim denetim sureclerinin planlanmasi zlenmesi veriye dayali konularinda dunya pazar payi sektor lideri olan audit command language urununun turkiye deki yetkili distiributorudur gelisen surekli evrilen teknolojileri takip etmek destek oldugumuz kurumlara katma deger yaratabilmek adina universiteler birligi icinde faaliyetlerinde bulunurken deneyimimiz kurumlarin bilgiye dayali yonetim donusumlerine katki saglamaktayiz genel nitelikler gelistirme ekibi ortak calisarak urun ihtiyaclarina uygun tasarimlar olusturmak kullanici ihtiyaclari dogrultusunda wireframe prototipler gelistirebilen sketch invision adobe photoshop adobe illustrator programlarina hakim responsive arayuz gelistirmede deneyimli surekli kendini gelistirmeyi hedefleyen analitik dusunen ayni anda birden fazla yurutebilen ekip calismasina yatkin erkek adaylar icin askerlik gorevini tamamlamis veya tecilli,designer,web_tasarim
sisli osmanbey bulunan mobil yazilim sirketimize html konusunda bilgi sahibi yazilim dilleri konusunda bilgi sahibi projelerinde gorev alabilecek staj suresi yapacaginiz gorevler backend icin azindan framework projeler gelistirmis frontend icin javascript konusunda iddiali mobil icin react native mobil uygulama gelistirme konusunda merakli yazilim mysql veritabani ilgili hata duzeltmelerinin yapilmasi sosyal guncellemelerinin yapilmasi posta gonderimindeki hatalarin duzeltilmesi guncel sisteme gecilmesi masaustu ayayuzunde html javascript kodlarinda iyilestirmeler yapilmasi sistemin daha performansli calismasi icin iyilestirmeler yapilmasi staj hakkinda gonullu staj programidir maasli program degildir staj suresi yaklasik veya aydir hemen baslayabi lecek adaylar degerlendi lecekti aranan nitelikler caliskan disiplinine sahip staja vakit ayirabilecek arastirma problem cozmeyi seven mysql konusunda tecrube yetenege sahip universite ogrencisi tercihen bilgisayar veya yazilim muhendisligi bolumunde olan girisimde gorev almaya istekli,tasarim stajyeri,web_tasarim
sirketimizde calisacak tasarim grafikte tasarim uzman personel alimi tasarim site guncelleme grafik tasarim,tasarim uzmani,web_tasarim
tecrubeli html javascript uzman responsive design uzman bootstrap foundation framework kullanmis olmaniz javascript framework kullanabiliyor olmaniz angularjs gibi uzman framework kullanabiliyor olmaniz less sass uzman tarayici uyumluluk kurallarini biliyor olmaniz tercihen derleme otomasyon araclari grunt gulp kullanabiliyor olmaniz tercih edilme sansinizi arttiracak unsurlar dosyalarini parcalayabilmeniz template engine kullanmis olmak mantigina hakim olmaniz backend programlama dillerinden birini baslangic seviyesinde biliyor olmaniz erkek adaylar icin askerliginizi yapmis tecil ettirmis olmaniz,frontend yazilim uzmani,web_tasarim
holdingimiz bunyesinde degerlendirmek uzere gelistirme yoneticisi arayisimiz bulunmaktadir tercihen universitelerin bilisim teknolojileri ilgili lisans bolumlerinden mezun gelistirme alaninda deneyimli tasarim konusunda bilgili tercihen html jquery gibi teknolojilere hakim responsive design konusunda deneyimli sayfasi landing page konsept tasarim sosyal medya icin ozgun tasarimlar olusturabilen dijital pazarlama bakis acisina sahip analitik dusunme becerisi olan hizli cozum uretebilen yeni teknolojileri arastirmayi seven literaturu takip edebilecek duzeyde ngilizce bilen takim calismasina yatkin yazili sozlu iletisim becerisi guclu tanimi farkli tarayicilar isletim sistemleri cihazlar arasi uyumluluk problemlerini cozmek kullanici ihtiyaclarini analiz ederek ihtiyaclara yonelik prototipler olusturmak sitelerinin icerik olarak guncel tutulmasi icerik yonetimi guncelleme bakim isleri hosting domain yonetimi yapmak tasarim kullanilabilirlik problemlerine yaratici efektif sekilde cozum uretmek,gelistirme yoneticisi,web_tasarim
tanimi wordpress kullanilmakta olan sitelerinin yapim guncelleme projelerini yurutmek html mail banner tasarim iceriklerinin olusturulmasi sosyal medya iceriklerinin guncellenmesi yeni icerikler olusturulmasi genel nitelikler universitelerin ilgili bolumlerinden mezun deneyimli guncel html javascript kodlama bilgisine sahip kendisini gelistiren mysql hazirlanmis icerik yonetim sistemi kullaniminda deneyimli wordpress kurulum yonetim eklentilerinin kullanimi konusunda portfolyo sunabilecek image editor programlarini ileri seviyede kullanabilen arastirmayi seven dijital trendleri yakindan takip eden banner bulten tasarim uygulamalari konusunda deneyimli google master tools google analytics gibi arama motoru optimizasyonu calismasinda kullanilan araclari bilen responsive mobil tasarim konusunda tecrubeli sosyal medya aglari uzerinde icerik hazirlayabilecek proje iceriklerinin sosyal medyalarini yonetebilecek tasarim yetenegine sahip gorsel gucu yuksek tasarim trendlerini uygulamalarini takip eden surekli kendini gelistirmeyi hedefleyen detaylarla ilgilenmekten sikilmayan yenilikci yaratici gorev aldigi projelerde proje takibi raporlama konularinda titiz calisan tercihen seviyede ngilizce bilen terci bayan calisma arkadaslari ariyoruz,tasarim uzmani,web_tasarim
front development alaninda deneyimli mobil desktop arayuz kodlama prensiplerine hakim mobil oncelikli gelistirme yaparak responsive adaptive tasarim konusunda tecrube edinmis html sass less ajax bootstrap javascript jquery teknolojilerine hakim gelismis javascript frameworkleri vuejs reactjs angularjs vakit gecirmis javascript dunyasindaki gelismeleri takip eden tercien rest json teknolojileri konusunda kendisini gelistirmis gibi versiyon kontrol sistemlerini kullanabilen cross browser uyumluluk sorunlarinin farkinda olan buna uygun gelistirme yapabilen kullanici deneyimi user experience kullanici arayuzu user interface tasarim prensiplerini bilen tasarim trendlerini mobil egilimlerini tarayici teknolojilerini uygulama tekniklerini yakindan takip eden temel seviyede photoshop kullanabilen literaturu takip edecek seviyede ngilizce bilgisi olan nsan liskilerinde basarili ekip calismasina yatkin mulakat oncesinde sirasinda ozgun calismalarindan ornekler sunabilecek tanimi natro bunyesinde bulunan masaustu mobil sitelerinin gelistirmesini bakiminin saglanmasi tekrar kullanilabilir olceklendirilebilir surdurulebilir yapisinin olusturulmasi site sayfalarin performans metriklerini duzenli olarak takip edilmesi uyumlu olarak pagespeed gtmetrix araclar uyumlu gelistirmelerin surekli guncel tutulmasi,onyuz gelistirme uzmani,web_tasarim
ulkede firma uretim satis faaliyetleri bulunan sirketimizin stanbul ofisinde gorevlendirilmek uzere mysql minimum yazilim gelistirmis frameworkler uzerinde calismalar yapmis ajax json gibi teknolojileri kullanabilen html javascript bootstrap jquery konusunda bilgi sahibi daha once ticaret site yonetim panelleri gelistirmis referanslari olan tercihen bilgisi olan apple platformu icin objective cocoa touch teknojilerini kullanarak uygulama gelistirmis android platformu icin android java yazilim dili teknolojilerini kullanarak uygulama gelistirmis http json teknolojileri restful soap servis yapilari konularinda bilgi sahibi tercihen ngilizce bilgisine sahip degisen ihtiyaclara cevap cozum uretebilecek ekip calismasina uyumlu hizli titiz calisabilen takibi konusunda hassas daha once yaptigi islerden refarans gosterebilecek takim arkadaslari aramaktayiz,development specialist,web_tasarim
ticaret sadakat projeleri konusunda global olarak buyumekte olan grubumuzun grafik tasarim departmaninda calismak uzere tasarim yonetmeni aramaktayiz tercihen universitelerin ilgili teknik bolum bolumlerinden mezun tasarimi konusunda tecrubeli derecede html bootstrap konularinda bilgi sahibi tercihen wordpress uygulamasi gelistirmis mobile responsive uyumlu siteleri hazirlayabilecek siteleri icin guncel tasarim trendlerini mobil tarayici teknolojilerini yakindan takip eden gerek elektronik gerekse ofis ortamda duzgun calisma duzenine sahip yaptigi isleri referans olarak sunabilecek olan adobe dreamweaver photoshop illustrator indesign after effects programlarini derecede kullanabilen ticaret sektorunde deneyimli kreatif kampanya gorselleri banner header mailing tasarimi yapmis olan tasarim trendlerini takip eden kesfetmeye ogrenmeye gelisime acik yaratici ozgun fikirler uretebilen derecede html bootstrap konularinda bilgi sahibi responsive adaptive tasarim konusunda tecrubeli browser uyumluluklari konusunda bilgili ekip calismasi insan iliskilerinde uyumlu birden fazla projeyi efektif olarak yurutebilecek olan gorev aldigi projelerde proje takibi konularinda titiz calisabilecek olan erkek adaylar icin askerlikle ilisigi olmayan tanimi sirketimizin bunyesindeki sitelerinin tasarimi guncellenmesi ticaret kanali icin kreatif grafik tasarimi calismalarinin kampanya banner mailing yapilmasi projelerin fikir tasarim asamalarinin tamaminin basindan sonuna takip edilmesi,tasarim yonetmeni,web_tasarim
universitemizin bilisim teknolojileri departmanin gorev alacak uygulamalari gelistirme sorumlusu aramaktayiz tercihen universitelerin bilisim teknolojileri ilgili lisans bolumlerinden mezun derecede ngilizce bilen tercihen benzer pozisyonda deneyim sahibi etkin iletisim planlama organizasyon becerisine sahip takipci sorumluluk sahibi dikkatli detaylara onem veren erkek adaylar icin askerlik gorevini tamamlamis olmak tecilli olmak tanimi tabanli yazilimlarda gorev almak python django deneyimi linux gentoo ubuntu sunuculara uygulama kurulumu deployment macos terminal ortamina hakimiyet mysql postgresql bilgisi kurulum yedekleme django uygulamarinda nginx apache gunicorn uwsgi gibi proxy sunucularina hakimiyet derecede kullanimi github platformu kullanimi organizasyon repolarin yonetimi markdown dokumantasyon uygulamalar diger bilgilendirmeler,uygulamalari gelistirme sorumlusu,web_tasarim
elektronik sektorunde yilindan yana faaliyetlerini surduren atmaca elektronik sunny markasiyla televizyon uydu alici uretimi gerceklestirerek turkiye buyuk elektronik ureticisi olmustur yuksek teknolojiye sahip uretim tesisleri kapali alanda stanbul esenyurt faaliyet gostermektedir fabrikamizda gorev alacak tasarim uzmani arayisimiz bulunmaktadir genel teli kler tercihen universitelerin yuksek okullarin ilgili bolumlerinden mezun gelistirme alaninda deneyimli html jquery teknolojilerine hakim responsive design konusunda deneyimli konusunda temel bilgiye sahip wordpress eklentilerine hakim wordpress temalarini taniyan video icerik olusturabilme duzenleyebilme uygulamalarinda bilgi sahibi farkli tarayicilar isletim sistemleri cihazlar arasi uyumluluk problemlerini cozebilen siteleri icin gorsel olusturma gelistirebilme ilgili gorsel duzenleme programlarina hakim siteleri hazirligi konusunda referans sahibi dijital pazarlama bakis acisina sahip tasarim yetenegine sahip gorsel gucu yuksek arastirmayi seven dijital trendleri yakindan takip eden erkek adaylar icin askerligini tamamlamis tanimi wordpress icerik yonetim sistemi uzerinden kaliteli tasarimlari yapmak gerekli grafik duzenlemelerinin yapilmasini saglamak,tasarim uzmani,web_tasarim
turkiye genelinde kamusal satis alaninda faaliyet gosteren sirketimizin genel mudurlugunde ankara calisacak tasarim uzmani ariyoruz universitelerin ilgili bolumlerinden mezun html javascript benzeri tarayici tarafli kodlama uygulama teknolojilerine hakim sitesi yonetme gelistirme konusunda tecrubeli site tasarim yetenegi olan cerik hazirlama yayinlama deneyimi bulunan tercihen derecede ngilizce bilen office programlarina letisim gucu guclu cozum odakli tasarim konusunda guclu yaratici tanimi sitelerinin yazilim tasarimlarinin guncellenmesi gelistirilmesinden sorumlu olmak kurumsal sosyal medya hesaplarini aktif bicimde yonetmek ortaminda tanitim yapabilecek calisma arkadasi alinacaktir,tasarim uzmani,web_tasarim
enerji sektorunde faaliyet gosteren musteri firmamiz icin asagidaki niteliklere uygun deneyimli gelistirme uzmani aramaktayiz aranan nitelikler universitelerin bilgisayar muhendisligi veya benzeri bolumlerinden mezun tabanli yazilim gelistirme konusunda tecrubesi olan konularinda ilgi sahibi react redux javascript teknolojileri konusunda bilgili tercihen tecrubeli tercihen prime faces teknolojileri konusunda tecrubeli analitik dusunebilen kendini gelistirmeye surekli ogrenmeye onem veren adaptasyon sorumlulugu takibi konusunda kendisine guvenen literaturu takip edebilecek seviyede ngilizce bilen etkili iletisim yetenegine sahip takim calismasina yatkin askerlik ilisigi bulunmayan,fronted developments specialist,web_tasarim
nsan kaynaklari firmasi butunlesik nsan kaynaklari cozumu turkiye bolgesinde yurt disinda faaliyet alanimiz olan alim bordro hizmetleri esnek sgucu egitim danismanlik hizmetleriyle sektor ayirt etmeksizin yerli yabanci firmalara uzman tecrubeli dinamik kadrosu hizmet vermektedir insan kaynaklari nsan kaynaklari istihdam cozumleri konusunda aradiginiz alternatifleri size sunan ortaginizdir danismanligini yuruttugumuz statusunde faaliyet gosteren ortaklarimiz icin arayuz geli pozisyonunda arayisimiz bulunmaktadir front development alaninda deneyimli angular konusunda tecrubeli tercihen diger javascript framework leri hakkinda bilgi sahibi olan react knockout backbone html jquery javascript dillerinde uzman typscript less sass responsive tasarimlar bootstrap konusunda tecrubeli tercihen zeplin kullanmis stanbul anadolu yakasi ulasim problemi olmayan turkiye kurumu tarafindan verilen tarih ozel stihdam burosu lisansina sahiptir,arayuz gelistirici,web_tasarim
cabitas muhendislik yilindan yana bilgi teknolojileri konusunda faaliyet gosteren sirketimiz sektore ozel cozumlerin yaninda yenilikci fikirleriyle projeler uretmektedir biri kendi alaninda uzman ekibimizle kaliteli guvenilir ozgun projeler uretme gayretindeyiz tanimi mevcut yazilimlarin yeni yazilacak yazilimlarin arayuz kullanici deneyimlerinin gelistirilmesi konusunda calisacak yeni yazilimlar icin tasarim konusunda analiz yapip optimum tasarimlari sunacak gerekli nitelikler tasarimi kullanici deneyimi konusunda tecrubeli html javascript konularinda tecrubeli konusunda bilgi sahibi arastirmayi ogrenmeyi seven takim arkadaslari ariyoruz,front developer,web_tasarim
yazilim sektorunde tecrubeli microsoft gelistirme ortamina diline hakim server veri tabaninda deneyim sahibi html html javascript jquery konularinda deneyim sahibi literaturu takip edebilecek seviyede ngilizce bilgisine sahip erkek adaylar icin askerligini yapmis veya tecilli zmir ikamet eden tercihen template uzerinden sitelerini responsive olarak html aktarabilen tercihen universitelerin bilgisayar yazilim elektronik veya matematik muhendisligi bolumlerinden mezun kendisine verilen gorevleri eksiksiz zamaninda yerine getirebilecek sorumluluga sahip analitik dusunebilen takim calismasina yatkin yeni yazilim teknolojilerinin takip edilip projelere uyarlanmasi degisime ogrenmeye acik yaratici sonuc odakli tanimi sitelerinin kurulmasini gelistirilmesini duzenlenmesini yapmak uygulamalari standartlara uygun olarak gelistirmek ustlerine duzenli rapor vererek islerin ilerleyisi hakkinda bilgilendirmek,full stack developer yazilim uzmani,web_tasarim
kartega temmuz bilgi birikimini musterileri paylasmak turkiye katma degeri yuksek muhendislik temelli projeler uretmek icin kuruldu kucuk ofiste basladigimiz yolculugumuz davutpasa teknopark devam etmekte gunden bugune onemli islere imzamizi attik proje musterilerimizi mutlu etmeyi basardik kartega olarak bizler gelisimin ilerlemenin onemini bilerek daha iyinin pesindeyiz uretmenin mutlulugu gelecegi guzellestirme cabamizin hakli gururu yolumuza devam ediyoruz tanimi pozisyonun sorumlu olacagi yazilim projelerinde tasarim gelistirme sureclerinde almak gelistirilen projelerin test asamalarinda ortaya cikan hatalari tespit etmek duzeltmek yapilan isler ilgili faaliyetleri dokumante etmek raporlamak sirketimizde gorevlendirilmek uzere asagidaki niteliklere sahip alaninda yazilim gelistirici full stack developer arayisimiz bulunmaktadir aranan nitelikler universitelerin ilgili bolumlerinden mezun uygulama gelistirme alaninda minimum deneyimli object oriented kodlama konusunda tecrubeli terminolojiye hakim microsoft entity framework design patterns konularinda tecrubeli restful servisler soap tabanli servisler gelistirme tecrubesine sahip html javascript jquery angularjs ajax konularinda bilgi sahibi responsive design framework bilgisine sahip bootstrap foundation less sass liskisel veritabani mysql mssql mongo dizayn gelistirme konusunda tecrubeli tercihen source control yazilimi sourcesafe kullanarak proje gelistirmis tercihen cloud platformlarinda deneyimli analitik dusunce yapisina sahip problem cozme becerisi yuksek takim calismasina yatkin iletisimi kuvvetli cozum odakli koordinasyon becerisi yuksek yeni teknolojilere gelismeye acik teknik ngilizce bilgisine sahip olup literaturu takip edebilecek erkek adaylar icin askerligini yapmis veya tecilli,full stack developer,web_tasarim
yeni kurulan kisa zamanda turkiye capinda yayina girecek kuresel hedefli projemizde universitelerin ilgili bolumlerinden mezun olmus veya kendini gelistirmis literaturu takip edebilecek seviyede ngilizce bilen takim arkadaslari aramaktayiz takim calismasina uygun seviyede javascript html bootstrap bilgisine sahip ilkeleri hakkinda bilgi sahibi browser uyumlulugunu saglama konusunda deneyimli tasarimda mobil uyumu saglayabilen tercihen adobe illustrator kullanabilen yeni teknolojileri takip eden uygulayan,arayuz gelistirici,web_tasarim
vivatinell turkiye dunyanin ulkesinde saglik kisisel bakim kategorilerinde lider inovasyon temelli markalari yillardir tuketicilerine saglik guzellik sunmaktadir ozellikle gelecegin mimari cocuklar icin guncel bilimsel temeller uzerine oturan urunleriyle farkli kultur ulkelerde alan milyonlarca cocugun daha saglikli ekonomik degeri yuksek bireyler olabilmesine yardimci olur vivatinell dogayi kirletmeyen surdurulebilir uretim anlayisi cercevesinde kurulmus ikisi ngiltere biri turkiye olmak uzere uretim tesisine sahiptir daha iyisini yapmak icin mucadele veren mucadeleyi mutlulukla gerceklestiren uluslu calisan kadrosuyla vivatinell yeni urun markalariyla gelismeye devam etmektedir nutrigen revigen acnecinamide enjoy aquas vivatinell turkiye deki lider markalarindan bazilaridir atasehir deki genel merkezimizde gorevlendirilmek uzere asagidaki niteliklere sahip master aranmaktadir wordpress html kodlamalari yapabilen tercihen javascript kodlamasina hakim alaninda tecrube sahibi google master tools google analytics gibi arama motoru optimizasyonu calismasinda kullanilan araclari bilen responsive adaptive tasarim konusunda tecrubeli siteleri icin guncel tasarim trendlerini mobil tarayici teknolojilerini yakindan takip eden cpanel plesk hosting icerik yonetimi konusunda tecrubeli tanimi sirketimizin sahip oldugu sitelerinin guncellenmesi yeni sitelerin tasarimi olusturulmasi yayina alinmasi banner bulten calismalarinin yapilmasi,master,web_tasarim
