genel_nit_is_tanimi,ilan_baslik,label
yilinda kurulan experto tubi sanayi bilim teknoloji bakanligi ticaret bakanligi kosgeb gibi kurumlarin tasarim merkezi teknokent kurulum yonetim surecleri alaninda arastirma gelistirme yatirim tesvik projelerine verdikleri destek hibeler icin sektordeki firmalara uzman kadrosu teknik destek saglamaktadir projelerinin stratejik haritasinin hazirlanmasi sunulan projelerinin hibe alim kanadinda yonetilmesi takibi projelerdeki ogelerinin olusturulmasina katki yurt yurt disi ortakli projelerde konsorsiyum olusturulmasi alanlarinda hizmet sunmaktadir proje yazim yonetimini gerceklestirmek zleme raporlarini hazirlamak lgili destegin kapanis raporlarini yapmak periyodik musteri toplantilarini gerceklestirmek universitelerin endustri mudendisligi bolumunden mezun derecede ngilizce bilen takim calismasina yatkin disiplinli zaman yonetimi insan iliskileri iletisim becerileri guclu office programlarini kullanabilen seyahat engeli bulunmayan analitik dusunebilen cozum odakli tecrubesine sahip takibi sonuclandirmasinda basarili cozum odakli arastirmalara istekli inovatif hevesli yogun temposuna esnek calisma saatlerine uyum saglayabilecek ehliyeti olan aktif arac kullanabilen sirket giyim kurallarimiza uyabilecek erkek adaylar icin askerlik hizmetini tamamlamis veya tecilli adaylar degerlendirilecektir,proje yonetim uzmani,banka_sigorta
doktortakvimi turkiye numarali doktor randevu tercih portalidir yili itibariyle milyon hastaya hizmet veren internet sitemizde doktor listelenmektedir doktortakvimi ulkede faaliyet gosteren docplanner turkiye deki temsilcisidir binlerce hasta randevularini bizim uzerimizden aliyor yakinda milyonlara ulasmayi hedefliyoruz musteri liskileri departmanimizin genc dinamik ekibinde gorev alip doktortakvimi kayitli hekim saglik uzmanlarinin online gorunurlugu uzerinde calisacak ekip arkadasi ariyoruz eger ozellikleri tasiyorsan hizli ogrenen otonomiyi seven surec yonetiminden zevk alan akici sekilde ngilizce konusup yazabilen sonuc odakli olan zorluklarin ustesinden gelmekten keyif alan musteri liskileri satis konusunda deneyimli asagidaki gorevler bana gore diyorsan musterilerimiz kisisellestirilmis internet sitelerini olusturmak icin koordinasyon saglamak musteri internet sitelerini eklentilerle zenginlestirmek musterilerimizin google benim sletmem hesaplarini guncel tutmak upsell yapmak aradigimiz kisi olabilirsin bizim yerimize baska firmada calismaya karar vermeden once mutlaka size sunabilecegimiz asagidaki imkanlari dikkate alin kisisel gelisim egitimlerimiz buyuk hazinesi insan olan yerde calismak yuzyilin hizli gelisen sektorunde calisma firsati nternet sektorunun renkli keyifli ofisinde calisma imkani spor salonu hisse opsiyonu bonkor prim sistemi,musteri liskileri uzmani online gorunurluk,banka_sigorta
cozum merkezi departmanina bagli yeni iletisim kanalimiz chat uzerinden mukemmel musteri deneyimini yaratarak musterilerimize hizmet verebilecek asagidaki niteliklere sahip calisma arkadaslari ariyoruz genel teli kler lisans veya lisans mezunu tercihen isletme iletisim fakultelerden mezun olmus canli chat kanali musteri iletisiminde soru sikayet yonetimi minimum tecrubesi olan sistemlerine hakkinda bilgi sahibi yazili sozlu iletisimi kuvvetli turkce kullanan bilgisi imla kurallarina sosyal medya diline hakim hizli klavye kullanabilen analitik dusunme yetenegine sahip problem cozme konusunda yetenekli esnek calisma saatlerine uyum gosterebilecek bazi vardiyalarda home agent calisabilecek evden calisabilecek takim calismasina yatkin ogrenmeye kendisini gelistirmeye istekli erkek adaylar icin askerlik gorevini tamamlamis tanimi hepsiburada bunyesinde musterilerden gelen soru sikayet taleplere anlik olarak yanit vermek cozumlemek musteriden alinan bilgiler dogrultusunda kayitlarin sistemleri uzerinde olusturulmasini saglamak musterilerin sikayet surecini bastan sonra takip etmek inisiyatif alarak cozumlemek yeni urun servislerle ilgili bilgilerini guncel tutarak musterilere dogru sekilde aktarmak musteri sorunlarini cozerken yaratici olmak olasi surec degisimi gelisimlerine katkida bulunacak girdileri ilgili departmanlara iletmek,webchat letisim sorumlusu,banka_sigorta
erwarten spaß kundenbetreuung empathisches vorgehen bearbeitung vielfältiger kundenanfragen kommunikationstalent sehr guten deutschkenntnissen wort schrift routinierter umgang gängigen internetanwendungen flexibilität zuverlässigkeit teamfähigkeit tanimi bieten anspruchsvolle abwechslungsreiche inbound tätigkeit umfassende produktschulung intensive einarbeitung aufstiegschancen unserem international tätigen unternehmen fixe grundvergutung attraktiven bonusmoglichkeiten werde teil unseres teams bewirb dich jetzt uber,kundenberater einen mobilfunkanbieter,banka_sigorta
yeni bosna daki namizda calisacak bayan orme malati yapan rmamiza musteri temsi pozi syonunda calisacak asagidaki teli klere uygun takim arkadasi aramaktayiz universitelerin ilgili bolumlerinden mezun orme imalat ihracati sektorunde deneyimli office programlarin duzeyde kullanabilen ngilizce konusup yazabilen tercihen nebim programini bilen takip yetenegi guclu detaylar konusunda dikkatli hedef sonuc odakli analitik dusunebilen sorumluluk alabilecek koleksiyon olusturma fiyatlandirma uretim yukleme asamalarini takip edecek hracat musteri temsilcisi ariyoruz,tekstil hracat musteri temsilcisi,banka_sigorta
etiya uluslararasi standartlarda musteri deneyimini esas alan yapay zeka destekli dijital donusum uygulamalari gelistiren kitada askin calisani global teknoloji sirketidir etiya musteri yolculugunun adimlarini izlenebilir yonetilebilir hale getirerek kurumlarin veri odakli karar alma yapilarini guclendirir etkin cevik aksiyon almalarina yardimci olur kurumlarin musteri deger yonetimine gecmesini onceliklendiren etiya yapay zeka veri analitigi musteri yonetimi yeteneklerini rekabet kaldiraci olarak kullanir tamamen dijital surdurulebilir modeli insa edebilmelerini mumkun kilar hollanda kanada turkiye ukrayna singapur deki ofisleriyle hizmet vermeyi surduren etiya urun cozumleri dunya capinda bagimsiz kuruluslar tarafindan bircok odule layik gorulmustur surekli inovasyon gelisim odaginda kurumsal degerleri esas alan etiya calisanlarinin daha ileriye gitmelerini amaclar eger yenilikci cevik cesur hayalperest oldugunu dusunuyorsan yenilik tutkunu cevik hareket eden cesaretle beslenen lider teknoloji sirketinde calismak istiyorsan basvurunu bekliyoruz yillik tecrubeye sahip olmak kullanici arayuzu modelleme uygulamasi kullaniminda bilgi sahibi olmak yazilim gereksinim dokumani hazirlama konusunda tecrube sahibi olmak modelleme konusunda tecrube sahibi olmak proje analiz dokumanlari hazirlama konusunda tecrube sahibi olmak surec modelleme uygulamalari hakkinda tecrube sahibi olmak tanimi pozisyonda alacak kisi musteri lokasyonunda gorev yapacaktir,anali ankara,banka_sigorta
deutschsprachige kundenbetreuung glamira juwelier unternehmen dessen ursprung sich heilbronn deutschland erste geschäft jahre eroffnet wurde befindet verlegte unternehmen seinen hauptsitz seine produktionsstätte nach istanbul tätigt heute geschäfte durch online shops beinahe ländern insbesondere europa besitzt professionelles team kundenbetreuern verschiedenen sprachen durch marketingkraft commerce glamiras schmuck international nachgefragt einem designer team individualisierbarem schmuck spezialisierte unternehmen arbeitet einem fokus hohem qualitätsstandard glamira besteht konzerngesellschaften sitzen niederlanden deutschland bulgarien australien großbritannien indien norwegen schweiz wächst glamira einem globalen unternehmen weiter support abteilung unseres unternehmens buro stanbul plaza suchen deutschsprachige kundenbetreuer innen nachfolgenden eigenschaften muttersprachliches niveau wort schrift deutschen sprache vorzugsweise mindestens oberstufenabschluss deutschland gute kommunikationsfähigkeit fähigkeit teamarbeit ausgeprägte fähigkeit nachkontrolle aufgabenstellungen gute office kenntnisse exakte ambitionierte arbeitseinstellung jobbeschreibung korrekte beantwortung anrufe inbound unserer kunden deutschland osterreich schweiz festgelegten qualitativen sprachstandards unterstutzung kunden durch beantwortung fragestellungen problemlosung mail live chat kontinuierliche koordination kontrolle unserer deutschsprachigen website social media kanäle kontrolle eingegebenen schriftlichen inhalte deutschen sprache durchfuhrung ubersetzungen deutsche sprache,deutschsprachige kundenbetreuer innen,banka_sigorta
temelleri yilinda heilbronn almanya acilan magazaya dayanan glamira mucevherat firmasidir yilinda merkez ofisini uretim atolyesini stanbul tasiyan sirket avrupa pazari basta olmak uzere yakin ulkede online sanal magazalariyla farkli dilde hizmet veren profesyonel musteri temsilcileriyle faaliyet gostermektedir ticaret altyapisina sahip pazarlama gucuyle imzasini tasiyan mucevherleri uluslararasi alanda ragbet gormektedir tasarim ekibiyle kisisellestirilmis mucevherat uzerine markalasan kurum yuksek kalite standartlarini odak noktasinda tutarak calismaktadir glamira grup sirketinden olusmaktadir hollanda almanya bulgaristan amerika avustralya ngiltere hindistan norvec svicre bulunan yurtdisi ofisleriyle global firma olma yolunda buyumeye devam etmektedir kurumumuzun support departmaninda gorevlendirmek uzere asagidaki ozelliklere sahip almanya musteri temsilcisi alinacaktir anadil duzeyinde yazili sozlu almanca iletisim kurabilen tercihen almanya minimum lise duzeyinde egitim almis letisim becerileri yuksek takim calismasina yatkin takibi kuvvetli office programlarini derecede kullanabilen duzenli isini titizlikle yapacak stanbul plazalarinda bulunan ofisimizde gorevlendirilmek uzere calisma arkadasi aramaktayiz tanimi almanya svicre avusturya bulunan musterilerimizden gelen cagrilara inbound belirlenmis konusma kalite standartlarina uygun olarak dogru cevap vermek mail live chat gelen soru sorunlara cozum ureterek destek vermek almanca icerikli sayfamizin sosyal medya mecralarini devamli olarak koordinasyonunu kontrollerini saglamak almanca olarak girilmis iceriklerin kontrollerini saglamak almanca ceviri yapmak,almanca musteri temsilcisi,banka_sigorta
merkezi londra bulunan ulkede fazla ofisi test laboratuvari uluslararasi alanda test gozetim denetim belgelendirme konularinda bagimsiz akredite hizmet sunan firmamizda musteri liskileri bolumunde musteri temsilcisi yardimcisi olarak gorevlendirilmek uzere asagidaki niteliklerde takim arkadaslari aramaktayiz universitelerin ilgili bolumlerin mezun tercihen tekstil muhendisligi tekstil ogretmenligi veya kimya muhendisligi bolumlerinden mezun derecede ngilizce bilen office programlarini etkin olarak kullanabilen musteri odakli sozlu yazili iletisimi dikkatli dinamik hizli ogrenen karar alma becerisi olan stanbul avrupa yakasi ikamet eden askerlik gorevini tamamlamis erkek adaylar icin tanimi musteri test isteklerinin guncel musteri spesifikasyon bilgileri gerceklestirilmesini saglamak numune tanimlama detaylarinin musteri spesifikasyonlarina paralel olmasini saglamak ilgili teknik musteri manuelinin iceriklerinin olarak operasyona yansimasini saglamak gerekli bilgileri ilgili worksheet uzerinde test laboratuar gruplarina iletmek raporlarin servis duzeyi anlasmalarina bagli olarak anlasilmis servis suresi icinde tamamlanmasini saglamak rapor hazirlanma onceliklerini belirlemek laboratuvardan gelen worksheetlere gore laboratuvara ozel yazilim programi raporu hazirlamak test sonuclarini kontrol etmek musteri odakli davranis sekli musterilere telefon mail destek vermek pozitif musteri odakli sunum ornegi sergilemek musteriler acentalar icin dogru kontak detaylarini tutmak hususlarinda gorev alacak takim arkadasi aramaktayiz basvurusu olumlu olan adaylardan adli sicil kaydi belgesi istenir,musteri temsilcisi yardimcisi,banka_sigorta
sahibinden dunyasi dedirten anlar icin calisiriz arastirir merak eder yenilikleri severiz ayni konulara farkli acilardan bakariz basarilarimizi birlikte kutlar gurur duyariz sende oyle misin harika universite mezunu cagri merkezi dinamiklerine hakim takim yonetimi konusunda deneyimli kocluk becerileri ekibini gelistirebilecek musteri sonuc odakli calisma yetkinligi olan sozlu yazili iletisim becerileri gelismis raporlama becerileri gelismis erkek adaylar icin askerligini tamamlamis kriterler tamamsa tanimin asagida tanimi gelen kullanici taleplerinin yanitlanmasini saglamak kullanici beklentilerini seviyede tutmak cagri merkezinde yapilan gorusmeleri rassal olarak dinlemek degerlendirmek tespit edilen konulara yonelik aksiyon onerileri gelistirilmesini saglamak teknik olarak kullanicilarin bilgilendirilmesini saglamak problemlerinde destek olmak aylik vardiyalarin takip edilmesi ekibinin hedeflerine ulasmasi icin gerekli kocluk yonlendirmelerin yapilmasi hedeflerin belirlenmesi kisisel gelisimlerinin izlenmesi iyilestirme yonunde aksiyonlar alinmasi ekibin cagri degerlerinin takibini yapip gunluk haftalik aylik hedefler belirleyerek daha iyiye yonelmelerini saglamak surecleri ilgili verimlilik kalite performans analizlerinin yapilmasi raporlanmasi ekibin motivasyonunun performanslarinin devamliliginin saglanmak performans yonetimini kariyer danismanligini yapmak dinamik ekibimizin parcasi olmaya aday musteri memnuniyeti takim lideri ariyoruz,musteri memnuniyeti takim lideri,banka_sigorta
garanti bbva zmir bolge mudurlugu alan subelerde gorevlendirilmek uzere narlidere guzelyali toptancilar carsi lisans mezunu zmir ikamet eden kendisini pozitif guler yuzlu iletisim ikna becerileri yuksek biri olarak tanimlayan askerlik gorevini tamamlamis tecil ettirmis erkek adaylar icin musteri danismani aramaktayiz tanimi musteri danismani subeye gelen musterilerin nakit islemlerini talimatlarini gerceklestirmek ayni zamanda urun satisi yonlendirmesi yapmaktan sorumludur,musteri danismani narlidere guzelyali toptanci,banka_sigorta
santral yapimindan isletme bakim hizmetlerine elektrik dagitim uretim ticaretinden dogal dagitim hizmetlerine kadar genis alanda faaliyet gosteren dogal ruzgar jeotermal hidroelektrik santralleri sektorunun onculerinden olan zorlu enerji grubu turkiye deki projelerinin yani sira avrupa asya ortadogu buyuk projeler yonetiyor farkli alanlardaki uzman kadrosu buyumeye devam eden zorlu enerji grubu asagidaki belirtilmis tanimi cercevesinde fikir deneyimleri deger katacak proje yoneticisi arge ariyor universitelerin elektrik elektronik elektronik haberlesme bolumlerinden mezun minimum teknolojik sektorlerde proje yonetimi tecrubeli kamu kurumlari calismis partilerle calisma sureclerini yonetmis tubi veya diger avrupa birligi arge programlarinda proje yazmis veya kabul almis tercihen elektrik sektoru saha tecrubesi olan otomotiv elektrikli arac veya batarya teknolojileri konusunda ilgili letisimi temsil yetenegi guclu ekip yonetimi konusunda tecrubeli problem cozme analitik dusunme becerisine sahip seyahat engeli olmayan tanimi horizon projelerinin hayata gecirilmesi epdk arge projelerinin hayata gecirilmesi itea tubitak diger arge projelerinin yonetimi hayata gecirilmesi ornek projeler sarj istasyonlari elektrikli araclarin sebekeye etkisinin incelenmesi yuklerin optimize edilmesi icin gerekli yerli yazilimin gelistirilmesi lityum iyon bazli enerji depolama sistemlerinin primer frekans kontrol uygulamalari icin test edilmesi coklu enerji sistemlerinin teknolojik araclar kullanilarak optimize edilmesi enerji pazaryeri icin buyuk veri cozumleri,arastirma gelistirme arge proje yoneticisi,banka_sigorta
apsi site rezidans merkezi plaza gibi farkli amac olcekteki uyeli yasam alanlari yoneticileri icin dijital asistanlik yapan uyelerinin yasadiklari alanin seviyede tadini cikarmalarini saglayan online platform online platform sayesinde daireli apartmanlardan daireli siteleri yuzlerce yerinin araya geldigi plazalari merkezlerini yonetmek eskisinden daha kolay keyifli anda turkiye deki prestijli buyuk site rezidans merkezi yonetimleri apsi tercih ediyor dijital asistanlik yaptigi uyelerinin hayatini kolaylastiran apsiyon temelleri yilinda atildi toplu yapi yonetimlerinde karsilasilan sikintilara cozum uretmek icin yola cikan kurucu ortagin calismalariyla yilinda acilan apsiyon yilinda turkiye yatirim yapilmaya deger internet girisiminden biri secilerek yatirimcilarin dikkatini cekmeyi basardi kisa surede turkiye koklu sirketlerinden biri olan yildirim holding yatirim alarak hizli buyume temposunu yakalayan apsiyon turkiye avrupa buyuk yatirim fonlarindan biri olan earlybird venture capital yilinin eylul ayinda milyon seri yatirim aralik ayinda yine ayni tutarda yatirim alarak yerini saglamlastirdi stanbul merkezli yazilim sirketi olmakla birlikte anadolu bolgede temsilciligi bulunmaktadir mulkiyeti kanunu hukumleri dogrultusunda hazirlanmis kolay anlasilir entegre cozumleriyle yonetimlere sorunsuz hizli hizmet saglayarak guclu referanslar edinen apsiyon klasik muhasebe programlarinin otesinde butun enerjisini yonetimlerin ihtiyaclarina yonlendiren cozum ortagi olarak kendini konumlandirmakta genc dinamik kadrosuyla hizmet vermeye sektorun onculugunu yapmaya devam etmektedir ogrenerek gelisimin basarinin parcasi olmak istiyorsan ekip calismasini seviyorsan bize katil lisans mezunu veya teknik lise larin bilgisayar elektronik bolumlerinden mezun tercihen cagri merkezi veya muhasebe programlari desteginde deneyimi olan office uygulamalarini etkin sekilde kullanabilen analitik dusunebilen diksiyonu duzgun nsan iliskilerinde basarili enerjik takim calismasina yatkin aktif olarak arac kullanan erkek adaylar icin askerlik gorevini tamamlamis tecilli stanbul anadolu yakasi ikamet eden tanimi musterilere telefon veya internet uzerinden destek vermek musteri problemleri alakali dogru pratik cozumler uretmek musteri operasyonlarini gerceklestirmek musterilerin ihtiyaclarini dogru analiz etmek apsiyon ortaklarinin sundugu urunleri musterilere tanitmak musterilerden gelen geri bildirimleri cevaplamak gerektigi durumlarda yazilim ekibine yonlendirmek yazilim departmani koordineli sekilde calisarak yeni cozumler uretilmesine urun gelistirilmesine katkida bulunmak,musteri destek uzmani uzman yard,banka_sigorta
telli grup yilinda baslayan yillik ticari gecmisine dayali bilgi deneyimi uzerine sektorun dinamiklerini belirler kalici cozumlere donusturur slogani sigorta sirketlerine hasarli araclarin degerlendirilmesi alaninda faaliyet gostermektedir kadrolarini guclendirmek musterilerine daha hizmetler sunabilmek adina asagidaki niteliklerde calisma arkadaslari aramaktadir lisans tercihen lisans mezunu musteri iliskileri yonetimi konusunda deneyimli musteri memnuniyetine onem veren tercihen tahsilat satis alanlarinda deneyimli dikkatli titiz motivasyonu yuksek takim calismasina yatkin letisimi kuvvetli ikna kabiliyeti gelismis problem cozme takibi konusunda basarili yogun calisma ortamina uyum saglayabilen office programlarini derecede kullanabilen askerlik hizmetini tamamlamis erkek adaylar icin tanimi iliskilerinin sirket prosedurleri cercevesinde yurutulmesini saglamak departman hedeflerinin gerceklesmesine destek vermek musterilerin ihtiyac beklentilerini anlayarak dogru bilgilendirme yapmak uygun cozumu sunmak musteri memnuniyetini duzeyde saglamaya calismak tahsilatlarin zamaninda gerceklesmesini saglamak dosyalarin evrak takibini yapmak eksikliklerin giderilmesini saglamak arac teslimlerinin zamaninda gerceklesmesini saglamak,musteri temsilcisi,banka_sigorta
garanti bbva anadolu bolge mudurlugu bagli afyonkarahisar subelerinde gorevlendirilmek uzere lisans mezunu afyon ikamet eden kendisini pozitif guler yuzlu iletisim ikna becerileri yuksek biri olarak tanimlayan askerlik gorevini tamamlamis tecil ettirmis erkek adaylar icin musteri danismani aramaktayiz tanimi musteri danismani subeye gelen musterilerin nakit islemlerini talimatlarini gerceklestirmek ayni zamanda urun satisi yonlendirmesi yapmaktan sorumludur,musteri danismani afyonkarahisar,banka_sigorta
